Tick,Throttle,Speed,Current,Voltage,Speed1
22593,0, 0, 0, 0, 5682
22643,0, 0, 0, 0, 5682
22693,0, 0, 0, 0, 5682
22743,0, 0, 0, 0, 5682
22793,0, 0, 0, 0, 5682
22845,0, 0, 0, 0, 5682
22896,0, 0, 0, 0, 5682
22946,0, 0, 0, 0, 5682
22996,0, 0, 0, 0, 5682
23046,0, 0, 0, 0, 5682
23098,0, 0, 0, 0, 5682
23148,0, 0, 0, 0, 5682
23198,0, 0, 0, 0, 5682
23248,0, 0, 0, 0, 5682
23298,0, 0, 0, 0, 5682
23350,0, 0, 0, 0, 5682
23400,0, 0, 0, 0, 5682
23450,0, 0, 0, 0, 5682
23500,0, 0, 0, 0, 5682
23550,0, 0, 0, 0, 5682
23602,0, 0, 0, 0, 5682
23652,0, 0, 0, 0, 5682
23702,0, 0, 0, 0, 5682
23752,0, 0, 0, 0, 5682
23802,0, 0, 0, 0, 5682
23856,0, 0, 0, 0, 5682
23906,0, 0, 0, 0, 5682
23956,0, 0, 0, 0, 5682
24006,0, 0, 0, 0, 5682
24057,0, 0, 0, 0, 5682
24109,0, 0, 0, 0, 5682
24159,0, 0, 0, 0, 5682
24209,0, 0, 0, 0, 5682
24259,0, 0, 0, 0, 5682
24309,0, 0, 0, 0, 5682
24361,0, 0, 0, 0, 5682
24411,0, 0, 0, 0, 5682
24461,0, 0, 0, 0, 5682
24511,0, 0, 0, 0, 5682
24561,0, 0, 0, 0, 5682
24613,0, 0, 0, 0, 5682
24663,0, 0, 0, 0, 5682
24713,0, 0, 0, 0, 5682
24763,0, 0, 0, 0, 5682
24813,0, 0, 0, 0, 5682
24865,0, 0, 0, 0, 5682
24915,0, 0, 0, 0, 5682
24965,0, 0, 0, 0, 5682
25015,0, 0, 0, 0, 5682
25065,0, 0, 0, 0, 5682
25117,0, 0, 0, 0, 5682
25168,0, 0, 0, 0, 5682
25218,0, 0, 0, 0, 5682
25268,0, 0, 0, 0, 5682
25318,0, 0, 0, 0, 5682
25370,0, 0, 0, 0, 5682
25420,0, 0, 0, 0, 5682
25470,0, 0, 0, 0, 5682
25520,0, 0, 0, 0, 5682
25570,0, 0, 0, 0, 5682
25622,0, 0, 0, 0, 5682
25672,0, 0, 0, 0, 5682
25722,0, 0, 0, 0, 5682
25772,0, 0, 0, 0, 5682
25822,0, 0, 0, 0, 5682
25874,0, 0, 0, 0, 5682
25926,0, 0, 0, 0, 5682
25976,0, 0, 0, 0, 5682
26026,0, 0, 0, 0, 5682
26076,0, 0, 0, 0, 5682
26126,0, 0, 0, 0, 5682
26178,0, 0, 0, 0, 5682
26228,0, 0, 0, 0, 5682
26279,0, 0, 0, 0, 5682
26329,0, 0, 0, 0, 5682
26379,0, 0, 0, 0, 5682
26431,0, 0, 0, 0, 5682
26481,0, 0, 0, 0, 5682
26531,0, 0, 0, 0, 5682
26581,0, 0, 0, 0, 5682
26631,0, 0, 0, 0, 5682
26683,0, 0, 0, 0, 5682
26733,0, 0, 0, 0, 5682
26783,0, 0, 0, 0, 5682
26833,0, 0, 0, 0, 5682
26883,0, 0, 0, 0, 5682
26935,0, 0, 0, 0, 5682
26985,0, 0, 0, 0, 5682
27035,0, 0, 0, 0, 5682
27085,0, 0, 0, 0, 5682
27135,0, 0, 0, 0, 5682
27187,0, 0, 0, 0, 5682
27237,0, 0, 0, 0, 5682
27287,0, 0, 0, 0, 5682
27337,0, 0, 0, 0, 5682
27387,0, 0, 0, 0, 5682
27440,0, 0, 0, 0, 5682
27490,0, 0, 0, 0, 5682
27540,0, 0, 0, 0, 5682
27590,0, 0, 0, 0, 5682
27640,0, 0, 0, 0, 5682
27692,0, 0, 0, 0, 5682
27742,0, 0, 0, 0, 5682
27792,0, 0, 0, 0, 5682
27842,0, 0, 0, 0, 5682
27892,0, 0, 0, 0, 5682
27944,0, 0, 0, 0, 5682
27994,0, 0, 0, 0, 5682
28044,0, 0, 0, 0, 5682
28094,0, 0, 0, 0, 5682
28144,0, 0, 0, 0, 5682
28196,0, 0, 0, 0, 5682
28246,0, 0, 0, 0, 5682
28296,0, 0, 0, 0, 5682
28346,0, 0, 0, 0, 5682
28396,0, 0, 0, 0, 5682
28448,0, 0, 0, 0, 5682
28498,0, 0, 0, 0, 5682
28549,0, 0, 0, 0, 5682
28599,0, 0, 0, 0, 5682
28649,0, 0, 0, 0, 5682
28701,0, 0, 0, 0, 5682
28751,0, 0, 0, 0, 5682
28801,0, 0, 0, 0, 5682
28851,0, 0, 0, 0, 5682
28901,0, 0, 0, 0, 5682
28953,0, 0, 0, 0, 5682
29003,0, 0, 0, 0, 5682
29053,0, 0, 0, 0, 5682
29103,0, 0, 0, 0, 5682
29153,0, 0, 0, 0, 5682
29207,0, 0, 0, 0, 5682
29257,0, 0, 0, 0, 5682
29307,0, 0, 0, 0, 5682
29357,0, 0, 0, 0, 5682
29407,0, 0, 0, 0, 5682
29459,0, 0, 0, 0, 5682
29509,0, 0, 0, 0, 5682
29559,0, 0, 0, 0, 5682
29609,0, 0, 0, 0, 5682
29660,0, 0, 0, 0, 5682
29712,0, 0, 0, 0, 5682
29762,0, 0, 0, 0, 5682
29812,0, 0, 0, 0, 5682
29862,0, 0, 0, 0, 5682
29912,0, 0, 0, 0, 5682
29964,0, 0, 0, 0, 5682
30014,0, 0, 0, 0, 5682
30064,0, 0, 0, 0, 5682
30114,0, 0, 0, 0, 5682
30164,0, 0, 0, 0, 5682
30216,0, 0, 0, 0, 5682
30266,0, 0, 0, 0, 5682
30316,0, 0, 0, 0, 5682
30366,0, 0, 0, 0, 5682
30416,0, 0, 0, 0, 5682
30468,0, 0, 0, 0, 5682
30518,0, 0, 0, 0, 5682
30568,0, 0, 0, 0, 5682
30618,0, 0, 0, 0, 5682
30668,0, 0, 0, 0, 5682
30720,0, 0, 0, 0, 5682
30771,0, 0, 0, 0, 5682
30821,0, 0, 0, 0, 5682
30871,0, 0, 0, 0, 5682
30921,0, 0, 0, 0, 5682
30973,0, 0, 0, 0, 5682
31023,0, 0, 0, 0, 5682
31073,0, 0, 0, 0, 5682
31123,0, 0, 0, 0, 5682
31173,0, 0, 0, 0, 5682
31225,0, 0, 0, 0, 5682
31275,0, 0, 0, 0, 5682
31325,0, 0, 0, 0, 5682
31375,0, 0, 0, 0, 5682
31425,0, 0, 0, 0, 5682
31477,0, 0, 0, 0, 5682
31527,0, 0, 0, 0, 5682
31577,0, 0, 0, 0, 5682
31627,0, 0, 0, 0, 5682
31677,0, 0, 0, 0, 5682
31729,0, 0, 0, 0, 5682
31779,0, 0, 0, 0, 5682
31829,0, 0, 0, 0, 5682
31879,0, 0, 0, 0, 5682
31930,0, 0, 0, 0, 5682
31982,0, 0, 0, 0, 5682
32032,0, 0, 0, 0, 5682
32082,0, 0, 0, 0, 5682
32132,0, 0, 0, 0, 5682
32182,0, 0, 0, 0, 5682
32234,0, 0, 0, 0, 5682
32284,0, 0, 0, 0, 5682
32334,0, 0, 0, 0, 5682
32384,0, 0, 0, 0, 5682
32434,0, 0, 0, 0, 5682
32486,0, 0, 0, 0, 5682
32536,0, 0, 0, 0, 5682
32586,0, 0, 0, 0, 5682
32636,0, 0, 0, 0, 5682
32686,0, 0, 0, 0, 5682
32738,0, 0, 0, 0, 5682
32788,0, 0, 0, 0, 5682
32838,0, 0, 0, 0, 5682
32888,0, 0, 0, 0, 5682
32938,0, 0, 0, 0, 5682
32990,0, 0, 0, 0, 5682
33041,0, 0, 0, 0, 5682
33091,0, 0, 0, 0, 5682
33141,0, 0, 0, 0, 5682
33191,0, 0, 0, 0, 5682
33243,0, 0, 0, 0, 5682
33293,0, 0, 0, 0, 5682
33343,0, 0, 0, 0, 5682
33393,0, 0, 0, 0, 5682
33443,0, 0, 0, 0, 5682
33495,0, 0, 0, 0, 5682
33545,0, 0, 0, 0, 5682
33595,0, 0, 0, 0, 5682
33645,0, 0, 0, 0, 5682
33695,0, 0, 0, 0, 5682
33747,0, 0, 0, 0, 5682
33797,0, 0, 0, 0, 5682
33847,0, 0, 0, 0, 5682
33897,0, 0, 0, 0, 5682
33947,0, 0, 0, 0, 5682
33999,0, 0, 0, 0, 5682
34049,0, 0, 0, 0, 5682
34099,0, 0, 0, 0, 5682
34150,0, 0, 0, 0, 5682
34200,0, 0, 0, 0, 5682
34252,0, 0, 0, 0, 5682
34302,0, 0, 0, 0, 5682
34352,0, 0, 0, 0, 5682
34402,0, 0, 0, 0, 5682
34452,0, 0, 0, 0, 5682
34504,0, 0, 0, 0, 5682
34554,0, 0, 0, 0, 5682
34604,0, 0, 0, 0, 5682
34654,0, 0, 0, 0, 5682
34704,0, 0, 0, 0, 5682
34756,0, 0, 0, 0, 5682
34806,0, 0, 0, 0, 5682
34856,0, 0, 0, 0, 5682
34906,0, 0, 0, 0, 5682
34956,0, 0, 0, 0, 5682
35010,0, 0, 0, 0, 5682
35060,0, 0, 0, 0, 5682
35110,0, 0, 0, 0, 5682
35160,0, 0, 0, 0, 5682
35210,0, 0, 0, 0, 5682
35263,0, 0, 0, 0, 5682
35313,0, 0, 0, 0, 5682
