Vendor,GRAPHTEC Corporation
Model,GL240
Firmware,Ver1.43
Software, "Ver1.30"
MaxChannel,10CH
GSStartCH
WLStartCH,10CH
Sampling,50ms
Total data points,365         
Trigger,0           
Start time,2023-05-20,16:57:54
Stop time,2023-05-20,16:58:12
Trigger time,2023-05-20,16:57:54
AC Mode, AC1_2, AC1_2
Logic/Pulse,Pulse,Off
Amp setting
CH, Signal name, AMP, Input, Range, Temp Range, Filter, Span
CH4,CH 4,M,DC,1-5V,,Off,0.458300,-0.458300,On
CH5,CH 5,M,DC,2V,,Off,50.000000,-50.000000,A
CH6,CH 6,M,DC,100V,,Off,50.000000,-50.000000,V
Pulse1,COUNT,L,On,500000.000000,0.000000,C
Data
No., Date&Time, ms,CH4,CH5,CH6,Pulse1,Alarm1,AlarmLP,AlarmOut
NO.,Time,ms,On,A,V,C,A1234567890,A1-28,A123456789
90,2023-05-20 16:57:58,450,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
91,2023-05-20 16:57:58,500,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
92,2023-05-20 16:57:58,550,+0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
93,2023-05-20 16:57:58,600,+0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
94,2023-05-20 16:57:58,650,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
95,2023-05-20 16:57:58,700,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
96,2023-05-20 16:57:58,750,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
97,2023-05-20 16:57:58,800,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
98,2023-05-20 16:57:58,850,-0.000,-0.0400,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
99,2023-05-20 16:57:58,900,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
100,2023-05-20 16:57:58,950,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
101,2023-05-20 16:57:59,000,-0.000,-0.0400,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
102,2023-05-20 16:57:59,050,-0.000,-0.0480,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
103,2023-05-20 16:57:59,100,+0.000,-0.0400,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
104,2023-05-20 16:57:59,150,-0.000,-0.0320,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
105,2023-05-20 16:57:59,200,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
106,2023-05-20 16:57:59,250,-0.000,-0.0480,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
107,2023-05-20 16:57:59,300,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
108,2023-05-20 16:57:59,350,-0.000,-0.0400,+46.90,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
109,2023-05-20 16:57:59,400,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
110,2023-05-20 16:57:59,450,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
111,2023-05-20 16:57:59,500,+0.000,-0.0320,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
112,2023-05-20 16:57:59,550,-0.000,-0.0320,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
113,2023-05-20 16:57:59,600,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
114,2023-05-20 16:57:59,650,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
115,2023-05-20 16:57:59,700,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
116,2023-05-20 16:57:59,750,-0.000,-0.0320,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
117,2023-05-20 16:57:59,800,-0.000,-0.0400,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
118,2023-05-20 16:57:59,850,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
119,2023-05-20 16:57:59,900,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
120,2023-05-20 16:57:59,950,-0.000,-0.0480,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
121,2023-05-20 16:58:00,000,+0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
122,2023-05-20 16:58:00,050,-0.000,-0.0320,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
123,2023-05-20 16:58:00,100,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
124,2023-05-20 16:58:00,150,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
125,2023-05-20 16:58:00,200,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
