Tick,Throttle,Speed,Current,Voltage,Speed
13307,0, 0, 0, 0, 5682
13357,0, 0, 0, 0, 5682
13407,0, 0, 0, 0, 5682
13457,0, 0, 0, 0, 5682
13509,0, 0, 0, 0, 5682
13559,0, 0, 0, 0, 5682
13609,0, 0, 0, 0, 5682
13659,0, 0, 0, 0, 5682
13709,0, 0, 0, 0, 5682
13761,0, 0, 0, 0, 5682
13811,0, 0, 0, 0, 5682
13861,0, 0, 0, 0, 5682
13912,0, 0, 0, 0, 5682
13962,0, 0, 0, 0, 5682
14014,0, 0, 0, 0, 5682
14064,0, 0, 0, 0, 5682
14114,0, 0, 0, 0, 5682
14164,0, 0, 0, 0, 5682
14214,0, 0, 0, 0, 5682
14266,0, 0, 0, 0, 5682
14316,0, 0, 0, 0, 5682
14366,0, 0, 0, 0, 5682
14416,0, 0, 0, 0, 5682
14466,0, 0, 0, 0, 5682
14518,0, 0, 0, 0, 5682
14568,0, 0, 0, 0, 5682
14618,0, 0, 0, 0, 5682
14668,0, 0, 0, 0, 5682
14718,0, 0, 0, 0, 5682
14770,0, 0, 0, 0, 5682
14820,0, 0, 0, 0, 5682
14870,0, 0, 0, 0, 5682
14920,0, 0, 0, 0, 5682
14970,0, 0, 0, 0, 5682
15022,0, 0, 0, 0, 5682
15073,0, 0, 0, 0, 5682
15123,0, 0, 0, 0, 5682
15173,0, 0, 0, 0, 5682
15223,0, 0, 0, 0, 5682
15275,0, 0, 0, 0, 5682
15325,0, 0, 0, 0, 5682
15375,0, 0, 0, 0, 5682
15425,0, 0, 0, 0, 5682
15475,0, 0, 0, 0, 5682
15527,0, 0, 0, 0, 5682
15577,0, 0, 0, 0, 5682
15627,0, 0, 0, 0, 5682
15677,0, 0, 0, 0, 5682
15727,0, 0, 0, 0, 5682
15779,0, 0, 0, 0, 5682
15829,0, 0, 0, 0, 5682
15879,0, 0, 0, 0, 5682
15929,0, 0, 0, 0, 5682
15979,0, 0, 0, 0, 5682
16031,0, 0, 0, 0, 5682
16081,0, 0, 0, 0, 5682
16131,0, 0, 0, 0, 5682
16182,0, 0, 0, 0, 5682
16232,0, 0, 0, 0, 5682
16286,0, 0, 0, 0, 5682
16336,0, 0, 0, 0, 5682
16386,0, 0, 0, 0, 5682
16436,0, 0, 0, 0, 5682
16486,0, 0, 0, 0, 5682
16538,0, 0, 0, 0, 5682
16588,0, 0, 0, 0, 5682
16638,0, 0, 0, 0, 5682
16688,0, 0, 0, 0, 5682
16738,0, 0, 0, 0, 5682
16790,0, 0, 0, 0, 5682
16840,0, 0, 0, 0, 5682
16890,0, 0, 0, 0, 5682
16940,0, 0, 0, 0, 5682
16990,0, 0, 0, 0, 5682
17042,0, 0, 0, 0, 5682
17092,0, 0, 0, 0, 5682
17142,0, 0, 0, 0, 5682
17192,0, 0, 0, 0, 5682
17242,0, 0, 0, 0, 5682
17295,0, 0, 0, 0, 5682
17345,0, 0, 0, 0, 5682
17395,0, 0, 0, 0, 5682
17445,0, 0, 0, 0, 5682
17495,0, 0, 0, 0, 5682
